.model,date,.rep,patients,Specialty
combination,2023-12-01,37,2375.4585323906863,Cardiology
combination,2024-01-01,37,2386.949015627717,Cardiology
combination,2024-02-01,37,2456.5950004313286,Cardiology
combination,2024-03-01,37,2457.3997383596607,Cardiology
combination,2024-04-01,37,2555.4453064144695,Cardiology
combination,2024-05-01,37,2586.31355695849,Cardiology
combination,2024-06-01,37,2607.3501685050487,Cardiology
combination,2024-07-01,37,2700.286152053922,Cardiology
combination,2024-08-01,37,2661.8784433600504,Cardiology
combination,2023-09-01,38,2252.372590261926,Cardiology
combination,2023-10-01,38,2334.9167415930247,Cardiology
combination,2023-11-01,38,2383.129755921363,Cardiology
combination,2023-12-01,38,2386.80409323369,Cardiology
combination,2024-01-01,38,2470.865351596592,Cardiology
combination,2024-02-01,38,2499.762959775677,Cardiology
combination,2024-03-01,38,2515.4012431720644,Cardiology
combination,2024-04-01,38,2592.6850121543316,Cardiology
combination,2024-05-01,38,2583.1648433770965,Cardiology
combination,2024-06-01,38,2660.317129627342,Cardiology
combination,2024-07-01,38,2702.448888104122,Cardiology
combination,2024-08-01,38,2712.199452300877,Cardiology
combination,2023-09-01,39,2255.8571782758922,Cardiology
combination,2023-10-01,39,2395.8271852512594,Cardiology
combination,2023-11-01,39,2475.496940399321,Cardiology
combination,2023-12-01,39,2419.3435812398875,Cardiology
combination,2024-01-01,39,2519.7767891117965,Cardiology
combination,2024-02-01,39,2557.2898444914044,Cardiology
combination,2024-03-01,39,2580.484029673012,Cardiology
combination,2024-04-01,39,2561.896936921641,Cardiology
combination,2024-05-01,39,2639.3872120719952,Cardiology
combination,2024-06-01,39,2658.9175292868595,Cardiology
combination,2024-07-01,39,2779.2800778185438,Cardiology
combination,2024-08-01,39,2732.6868072746365,Cardiology
combination,2023-09-01,4,2269.514008291902,Cardiology
combination,2023-10-01,4,2362.579677121677,Cardiology
combination,2023-11-01,4,2425.4888862009957,Cardiology
combination,2023-12-01,4,2449.814188794461,Cardiology
combination,2024-01-01,4,2518.674380526538,Cardiology
combination,2024-02-01,4,2546.952754248898,Cardiology
combination,2024-03-01,4,2587.0424972083615,Cardiology
combination,2024-04-01,4,2694.2114685327338,Cardiology
combination,2024-05-01,4,2684.150003875789,Cardiology
combination,2024-06-01,4,2674.533568426701,Cardiology
combination,2024-07-01,4,2746.8880850158685,Cardiology
combination,2024-08-01,4,2763.607300266686,Cardiology
combination,2023-09-01,40,2235.5376933889684,Cardiology
combination,2023-10-01,40,2324.3238952084303,Cardiology
combination,2023-11-01,40,2405.7252058622125,Cardiology
combination,2023-12-01,40,2404.944157760741,Cardiology
combination,2024-01-01,40,2478.8949209339207,Cardiology
